Lake,Lake_ID
Kohangapiripiri,3
Rotokare,7512
Rotorua_11133,11133
Waiparera,13467
Lake Dudding,13447
Maratoto,14422
Lake Rotomanuka,14428
Lake Tikitapu,15312
Lake Okareka,15325
Waiau,15907
Oporoa,17286
Ngakapua,18717
Rotokawau_Aupouri,18719
Lake Wiritoa,18934
Lake Pauri,18933
Westmere,18951
Waipara,19575
Tomarata,21871
Taharoa,21917
Waikere,21926
Spectacle,22999
Rotoroa_23681,23681
Ngatu,23691
Waitahora,24434
Te Kahika,24633
Lockett,24960
Long_White_Lagoon,25248
Rotorua_25994,25994
Horseshoe_26277,26277
Lake George,28543
Pyramid_Burnt_Lake,29917
Opouahi,32478
L_34599,34599
Whakaki_Lagoon,34665
Oingo,36096
Tutira,36981
Brunner,38974
Katrine,39364
Marion,39367
Rotokaha,40521
Karangata,40534
Kaikiore,40535
Kaikereru,40554
Waihau,40590
Denny,41293
Emma,41299
Clearwater,41305
Lake Vincent,43649
Lake Waihola,44391
Lake Tuakitoto,44599
Ohau,45514
Gault,45686
Wainamu,45819
Douglas,46212
Duncan_Stream_2,46496
Pukaki,46564
Paringa,46725
Tekapo,47228
Forsyth,47579
Maori_Lake_A,47859
Evelyn,48217
Georgina,48447
Ida,48455
Catherine,48456
Marymere,48657
Grasmere,48663
Sarah,48673
Whangape,49180
Lake Hakanoa,49200
Lake Kereta,49884
Kuwakatai,50269
Lake Ototoa,50270
Mokeno,50314
Karaka,50320
Kanono,50373
Waingata,50377
Humuhumu,50401
Rotootuauru,50403
L_52117,52117
Te Anau,52566
Von_River_Valley,53163
Acheron_1,53401
Lake Wakatipu,53532
Lake Johnson,53707
Lake_Lochnager,54177
Lake Hayes,54190
L_54655,54655
Lake Okataina,54731
Lake Tarawera,54732
Hawea,54736
Te Ketekete,21450
Killanery,L380.3
NA,50782
