id,Lake_ID,Lake_Name,Priority,CaSpec,ConcB,num,index_RABD615,index_RABD660670,index_RABD845,index_R570R630,index_R590R690,median_RABD615,median_RABD660670,median_RABD845,median_R570R630,median_R590R690,mean95_RABD615,mean95_RABD660670,mean95_RABD845,mean95_R570R630,mean95_R590R690,range95_RABD615,range95_RABD660670,range95_RABD845,range95_R570R630,range95_R590R690,meanIQR_RABD615,meanIQR_RABD660670,meanIQR_RABD845,meanIQR_R570R630,meanIQR_R590R690,rangeIQR_RABD615,rangeIQR_RABD660670,rangeIQR_RABD845,rangeIQR_R570R630,rangeIQR_R590R690,meanIndices_RABD615,meanIndices_RABD660670,meanIndices_RABD845,meanIndices_R570R630,meanIndices_R590R690
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-1 - Kohangapiripiri,3,Kohangapiripiri,1,954.11419,7.008668629,1,RABD615,RABD660670,RABD845,R570R630,R590R690,1.123238201,1.658816215,0.984038108,0.893193647,0.753055077,1.128822158,1.693795323,0.984500585,0.897190803,0.761688713,0.24849752,1.02983332,0.083342989,0.314530076,0.415918513,1.124292537,1.663929465,0.984093343,0.893902438,0.754566314,0.075506064,0.288543878,0.028131337,0.102911797,0.133490227,1.118163598,1.627339152,0.983951482,0.903836789,0.771282784
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-2 - Kaikereru,40554,Kaikereru,1,761.0911868,4.353498008,2,RABD615,RABD660670,RABD845,R570R630,R590R690,1.062154219,1.428288307,1.132843029,0.98493587,0.93292399,1.063037306,1.431984529,1.133753732,0.985838967,0.935223495,0.143968586,0.357405769,0.128422046,0.204006905,0.339040096,1.062309048,1.428962186,1.132977541,0.985141579,0.93331689,0.048580461,0.113335158,0.043023409,0.067466992,0.112170209,1.059677801,1.406149847,1.133479353,0.988110625,0.938694561
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-3 - Waihau,40590,Waihau,1,220.1505765,1.012416707,3,RABD615,RABD660670,RABD845,R570R630,R590R690,1.046739579,1.319456616,0.993944435,0.949835913,0.904520882,1.047865858,1.323678649,0.994248579,0.950767088,0.906768488,0.143280178,0.335034051,0.098486816,0.238460775,0.390586523,1.046918074,1.320330931,0.994063291,0.950085641,0.904950326,0.047891007,0.111443107,0.033693999,0.078776223,0.129782812,1.044009419,1.296188653,0.994384743,0.954706893,0.910955329
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-4 - Killarney,L380.3,Killanery,1,597.9317315,0.734869126,4,RABD615,RABD660670,RABD845,R570R630,R590R690,1.07844484,1.3763157,1.057331329,0.9544388,0.844599933,1.080071641,1.383711669,1.057648794,0.955696663,0.847744163,0.181750359,0.41015568,0.106645007,0.292994165,0.431037136,1.078625857,1.377752934,1.057418002,0.954741408,0.845129907,0.06072462,0.128433551,0.036409616,0.096843746,0.143620295,1.074155822,1.352032796,1.057564003,0.960727716,0.854575456
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-5 - Wiritoa,18934,Wiritoa,1,184.0679413,0.680969784,5,RABD615,RABD660670,RABD845,R570R630,R590R690,1.041666799,1.217980735,0.995660024,0.954899239,0.868648244,1.043278572,1.220329019,0.996069774,0.955572156,0.871837054,0.172019128,0.257631125,0.120589738,0.268357766,0.417178142,1.041996472,1.218563595,0.995721137,0.954988294,0.868902438,0.057785428,0.085382838,0.04114824,0.088813956,0.138907065,1.039200403,1.189536362,0.995535756,0.959902172,0.877525602
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-6 - Pyramid,29917,Pyramid_Burnt_Lake,1,23.75514095,0.655616668,6,RABD615,RABD660670,RABD845,R570R630,R590R690,1.115828969,1.382398365,0.984101958,0.718443819,0.529313362,1.121434372,1.418525112,0.984256023,0.724915475,0.532785141,0.230582136,0.808111298,0.07544807,0.26831084,0.245848588,1.116724043,1.387068885,0.984097793,0.719565468,0.529833596,0.068818173,0.172380051,0.025807836,0.076939972,0.075574196,1.113475554,1.390943258,0.984033359,0.72936567,0.535954452
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-7 - Karangata,40534,Karangata,1,553.636595,0.437361108,7,RABD615,RABD660670,RABD845,R570R630,R590R690,1.086317222,1.505465102,1.027835308,0.987597578,0.924812151,1.088316241,1.517106774,1.028243131,0.989462258,0.932459384,0.191149282,0.665587177,0.102433882,0.298030826,0.525628631,1.086731971,1.50748423,1.02793151,0.987743608,0.925945804,0.062977557,0.201306986,0.03536638,0.097014286,0.170709867,1.080632132,1.469016973,1.027570966,0.996399152,0.942016477
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-8 - Archeron1,53401,Acheron_1,1,288.2841477,0.435929451,8,RABD615,RABD660670,RABD845,R570R630,R590R690,1.09140766,1.560550116,0.991026816,0.890611466,0.793276644,1.09224485,1.561732976,0.991066168,0.890158455,0.792855506,0.116893313,0.291295718,0.063775599,0.184714787,0.252284405,1.091521131,1.560881462,0.991017838,0.890502173,0.793158474,0.037958506,0.091603578,0.02171388,0.059895217,0.08561375,1.088718496,1.544874544,0.990957844,0.891752137,0.794876791
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-9 - Marymere,48657,Marymere,1,81.88657972,0.404855394,9,RABD615,RABD660670,RABD845,R570R630,R590R690,1.082415716,1.40003159,0.988656512,0.941802988,0.803035227,1.083341917,1.401548879,0.988782916,0.941761782,0.804025348,0.140299345,0.303962108,0.072671275,0.244044558,0.338533939,1.082572692,1.400244687,0.988643435,0.941825458,0.803209587,0.047893057,0.099654547,0.02488708,0.076635147,0.107710735,1.078239701,1.382016828,0.988640011,0.944933529,0.807807974
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-10 - 52117,52117,L_52117,1,513.1441923,0.394282965,10,RABD615,RABD660670,RABD845,R570R630,R590R690,1.112390539,1.461549429,1.013097571,0.900816164,0.721955006,1.113766315,1.465552867,1.01346664,0.901432591,0.723758154,0.178557206,0.379481533,0.087002821,0.283727336,0.330034581,1.11251432,1.462501973,1.013152154,0.900835963,0.722333241,0.059549547,0.122772648,0.02945924,0.093672972,0.108974814,1.107708878,1.432173001,1.013109698,0.905101133,0.727124846
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-11 - Marion,39367,Marion,1,436.1458426,0.364787973,11,RABD615,RABD660670,RABD845,R570R630,R590R690,1.149129454,1.770069701,0.994272717,0.957209056,0.745916924,1.151571195,1.779139351,0.994405804,0.958330725,0.749177844,0.199418777,0.669935831,0.073839189,0.289663481,0.368328892,1.14963061,1.771678786,0.994256935,0.95721354,0.746586081,0.064031205,0.213086751,0.024851312,0.09541866,0.121286732,1.142964593,1.741161896,0.994246722,0.963161675,0.754292218
Lakes380_PIG_BChl_1_S2_2021-06-23_02-12-39_roi-12 - Rotokawau,18719,Rotokawau_Aupouri,1,378.388919,0.300822066,12,RABD615,RABD660670,RABD845,R570R630,R590R690,1.090117772,1.432373781,1.032128146,0.884527644,0.747485922,1.092302318,1.434308653,1.03253422,0.886506322,0.754428896,0.208767231,0.460025033,0.099527626,0.299184551,0.456509672,1.090574204,1.43284378,1.032252412,0.884868442,0.748826132,0.068306101,0.150875013,0.033951499,0.096819238,0.146943972,1.082336734,1.392861844,1.032351105,0.894209345,0.76491085
