"","Sample","Corrected.Depth_cm","Lake","WaterCont","ConcAl","ConcBc","ConcCt","ConcCa","ConcCb","ConcDd","ConcDt","ConcEc","ConcF","ConcL","ConcMx","ConcP","ConcV","ConcZ","CarSpec","CaSpec","CbSpec","549.65","569.71","589.88","615.22","630.49","649.65","658.61","659.89","661.17","662.45","663.73","665.02","666.30","667.58","668.86","670.15","671.43","688.14","689.43","729.45","790.43","845.12","849.03","850.34","885.53","899.86","970.10","980.48","Lake_ID"
"1","Ot-01",0.2316947,"Rototoa",0.917180137731062,0.248825282203063,0,0.514221236712784,1.48061552781962,1.18980733572756,0.0975138364832246,0.298610349497305,0.160526390023286,0.088135922066461,0.501771796124804,0.369600401972864,0.00700411316376336,0.0173936921787191,0.936409803693958,254.798737570073,301.920553791912,204.913103239276,0.0817172752760959,0.0866872394098193,0.0885523850950377,0.0918967849342209,0.0938649045611709,0.0897466147047121,0.0906717547059664,0.0911001257893216,0.0915293985197742,0.091968113358654,0.092496683195788,0.0930823439074,0.0935677504360698,0.0941733544993831,0.0947383009885592,0.095322915299322,0.095848112371688,0.100865729622111,0.10101209080406,0.12530982695366,0.148879126142903,0.157554442736462,0.158103510655683,0.158399834735676,0.163064618702673,0.164242680924763,0.164200890527205,0.165161459847159,"Ot-01"
"2","Ot-02",1.2316947,"Rototoa",0.844944231120864,0.220869235302826,0,0.555938909707681,1.50109926942446,1.23299195098213,0.0411511109134669,0.32465076917621,0.0903927158847701,0.0707392260461221,0.559438965183243,0.387888320094181,0.0110082259503567,0.018993931809211,0.983951389150425,101.129503279019,131.18232525411,117.30691040947,0.080994802146819,0.0860474907453212,0.0879768013404629,0.0914697574431838,0.0935264786025975,0.0897349825291293,0.0906838707951782,0.0911410209304915,0.0915706566580785,0.0920241201722415,0.0925613062828754,0.0931893278617728,0.0937033148443437,0.0943052289918732,0.0948836084716267,0.0954580164591945,0.0960270309480268,0.101446396450799,0.101587513083937,0.125383873942841,0.148787044345208,0.157768042953516,0.158323164378868,0.158652524594372,0.163408014922949,0.164742995285244,0.165168113313819,0.166277122893593,"Ot-02"
"3","Ot-03",2.2316947,"Rototoa",0.884602311352818,0.247504809788966,0,0.542567681941937,1.53218541893994,0.992270505455071,0.0414212013531595,0.313485046382433,0.0837226677446987,0.0702693411509585,0.51837563366393,0.353431535819597,0.0120578127370806,0.0186844009748531,0.914111907563926,136.05731146486,183.868325871992,151.856039786505,0.0868217845298572,0.0919060827370313,0.0937819552702968,0.09729815056951,0.0993184351614854,0.0955613577523076,0.0967567912491669,0.0972652853576998,0.0977126787959199,0.0981939157986602,0.0987909845940996,0.099432159442428,0.100007577039957,0.100635443085574,0.101272757213552,0.101916077001836,0.102511689993487,0.108895965935668,0.10909064828308,0.132047056558308,0.154273246201141,0.162873544141033,0.163251229692341,0.163573665275214,0.167290873682126,0.168383530337073,0.168265898265033,0.169274338252626,"Ot-03"
"4","Ot-04",3.2316947,"Rototoa",0.870329670329671,0.215827944459404,0,0.509966000881335,1.44744775250917,0.9393832309434,0.0373758535712114,0.29877088044102,0.0941205839589552,0.0580815025662649,0.489133190749976,0.319486486235695,0.00670625430047692,0.0140850370137552,0.83609560647163,99.8762827575109,140.675487770608,112.360026176216,0.0875411243505827,0.0924224204230182,0.0942184726595539,0.0976690969259594,0.0996563903461521,0.0960323499408278,0.0973459153589412,0.0977977784791645,0.0982841210125002,0.0987630885620163,0.0993286297771393,0.099997977084321,0.100559376513671,0.101224215331032,0.101799829749115,0.102449658726328,0.103066852120852,0.109444481150813,0.109668507313035,0.131460389461585,0.152560637832072,0.16078658937389,0.161138579586608,0.161441675144267,0.164715094056363,0.165614799280638,0.165183983346591,0.166138921643316,"Ot-04"
"5","Ot-05",5.2316947,"Rototoa",0.851844545275204,0.181996928314579,0,0.53620315657385,1.348198101883,0.79508952607703,0.0545717612034626,0.237711151977478,0.0860652084779835,0.0462283383860467,0.487645668961073,0.2695532237715,0.00572120663794987,0.012371741324696,0.710506235777957,66.2866979251081,121.420667983403,96.622606064244,0.095198468211129,0.100441265684574,0.102271529230527,0.105490975466055,0.107381124214054,0.103974284594617,0.105227645332374,0.105728484487391,0.106224658222212,0.1067620040907,0.107390792124269,0.108098292797773,0.108669716770879,0.109392360448848,0.110052887122334,0.110758194055569,0.111416492343214,0.119283111822335,0.119653398053925,0.138821377801495,0.156806788089157,0.163379012480675,0.163549668422763,0.163715490584332,0.165923587603648,0.166454380719144,0.165153607183503,0.166040602176852,"Ot-05"
"6","Ot-06",7.2316947,"Rototoa",0.837767029423622,0.152811874755269,0,0.420349443330927,0.957051122262467,0.569756718907592,0.039131264260629,0.244438321428641,0.0498912694034891,0.0336724532418737,0.395732546787992,0.192757012454817,0.00321879861342868,0.0074396416226055,0.508889942266884,35.6193314002995,72.9953258009639,54.4729268942555,0.114272233332644,0.120722350293829,0.122745707734309,0.125954563904472,0.127607343337424,0.123210309687828,0.124339924188425,0.124873770328335,0.125445846363984,0.126030912229487,0.126769975021054,0.127569058635052,0.128289269050607,0.129128938233342,0.129897332253001,0.130748892883529,0.131586497170893,0.142081317038714,0.142671355073481,0.164094613215563,0.182727148405215,0.188486729809239,0.188521251691843,0.188665934150698,0.189978749453137,0.18994236193045,0.186988554717058,0.187899715536073,"Ot-06"
"7","Ot-07",9.2316947,"Rototoa",0.850435134588136,0.122496152374679,0,0.497265545854756,0.851876587845228,0.285824098931661,0.033298795396031,0.345272968012388,0.0389868678021272,0.0424791349087805,0.453912483831401,0.167245353139639,0.00149114277385303,0.00477232405890144,0.46409534959522,39.5883185816176,70.2223591245911,44.7018656773616,0.117875454533724,0.124666695949574,0.126861119427011,0.129989323534765,0.131667495404107,0.127832526499477,0.128754422275249,0.129229550632627,0.129765077564608,0.13027818314005,0.130975213508811,0.131732443524218,0.132407586375283,0.133150502975102,0.133914418356356,0.134728014433162,0.135516960301719,0.14574927903382,0.146340819792373,0.167097607804156,0.184654913947033,0.189899921216237,0.189963139411366,0.190137105947629,0.191075657952172,0.190973330449642,0.187672889545803,0.188572002350862,"Ot-07"
"8","Ot-08",11.2316947,"Rototoa",0.868146503884572,0.214029416142844,0,0.797977537422794,0.823342173117924,0.305552011265746,0.0358658903408085,0.522251903866602,0.0423904284252079,0.03999250556468,0.705140994266977,0.276429893726249,0,0.0061180578558756,0.683382916490909,62.5394511361141,76.8382599815107,42.0110558545663,0.12479459380333,0.131752179500355,0.134315282760417,0.137428516570051,0.139003291338123,0.136191745625671,0.137185196673527,0.137611636632937,0.138050891655489,0.138525382262111,0.139112855110197,0.139772419191391,0.140308662525214,0.141005566125509,0.141623623296837,0.142322146770355,0.142966401780128,0.151937333133064,0.152400010487132,0.170359092217304,0.185544816409233,0.189698500826754,0.18961948768221,0.189720539776531,0.190210205228844,0.18991141447359,0.186462247904655,0.18719227477411,"Ot-08"
"9","Ot-09",13.2316947,"Rototoa",0.870034052213394,0.239783636184861,0,0.972936267035896,0.743025616320362,0.386098167056904,0.0400822620146063,0.513287013717387,0.0230283448353189,0.0356095166711223,0.479645268523005,0.247211930782578,0,0.00557262316996767,0.444648490654254,62.9108803851792,86.9371111543088,44.1636109773532,0.127696926148776,0.135559793923726,0.138689640649446,0.141976211613413,0.143553004637024,0.140570967252917,0.14156239760279,0.141979270299466,0.142446657819239,0.142907518145132,0.143489030725242,0.144117267663111,0.144676858407666,0.145346994866455,0.146014206043832,0.146745971168157,0.147481184519472,0.156505793158015,0.156980730043156,0.174825126924219,0.190003819698888,0.194050505528574,0.193941086135885,0.193994150244261,0.194206373650208,0.193836128300038,0.190306685766996,0.190963943578632,"Ot-09"
"10","Ot-10",15.2316947,"Rototoa",0.848151848151847,0.424163295053335,0,1.78464494275647,0.592950587475593,0.677910322256845,0.0932634900929493,0.442861708928191,0.0057419005178851,0.0432609497104258,0.524261792779196,0.0793605647634312,0,0,0.138481609138059,56.6877527191184,67.4990650648355,36.9167432446603,0.119489884357094,0.127147433526541,0.130284101020657,0.133195570355686,0.134635715480486,0.132747656292886,0.133529324317648,0.133830141008808,0.134151629479001,0.13448285033185,0.134936111144572,0.135436027822507,0.135869679918103,0.136386363230373,0.13683170037312,0.1373924743512,0.137958565298726,0.144935879202331,0.145277212548919,0.159022368806845,0.170486058734863,0.172577636532904,0.172370344013573,0.172488792248433,0.171807940574728,0.171347519119313,0.167564289302315,0.168075852552312,"Ot-10"
"11","Ot-11",17.2316947,"Rototoa",0.724205061648281,0.442013349716111,0,1.81857126466119,0.516895127938824,0.741448669175823,0.0848699771322385,0.367832212816111,0.0064843510561541,0.044498409400572,0.611112758067878,0.0781156012552432,0,0,0.183297238540996,32.4382865487993,32.4781363735045,19.0200599962192,0.104681441547729,0.109494190368412,0.111490062681843,0.114556652206317,0.116910928379336,0.117388726353612,0.118698554497449,0.119032514940633,0.119346888037599,0.119671872860772,0.120061064781138,0.120538922872452,0.120892831747314,0.121361753660659,0.12176035011706,0.122203559270842,0.122620463191869,0.128208675512667,0.128441389816406,0.139975204456454,0.150728716734863,0.15361926378626,0.153556376124765,0.153638042032505,0.15385736010661,0.153793012614795,0.15151534782341,0.151784958353411,"Ot-11"
"12","Ot-12",19.2316947,"Rototoa",0.753016162076023,0.0424053337478925,0,0.241926458834644,0.195613850560416,0.121685710307637,0.0187372930553248,0.14788818434834,0.00641139718956753,0.0167168552524595,0.0951228133773885,0.0522088560437611,0,0,0.0611727550951946,8.78517104849995,30.6899437634431,16.6801760123488,0.101376933867705,0.105601914654581,0.107259284410108,0.110115784244912,0.112137469807184,0.112545949544723,0.113874024207992,0.11415141480983,0.114476866139282,0.114772959496999,0.115179738273697,0.115617600797206,0.115946704234221,0.116366300231328,0.116774581278407,0.117199599413118,0.117604325738895,0.122911106461188,0.123114691939863,0.134126130485198,0.144613939364903,0.147485138374265,0.147433419204796,0.147516789844805,0.147692257559579,0.147687097698246,0.145312511873789,0.145537630405197,"Ot-12"
"13","Ot-13",21.2316947,"Rototoa",0.568985710939328,0.0134420058242773,0,0.0636651008796472,0.140510837023567,0.0418669487369284,0.00440329958647978,0.0412331807102431,0.00306638584711012,0.0080992953814047,0.0323281026865244,0.0108171615223504,0,0,0.0109399404426284,2.58314530288305,28.7303430735351,13.0572003920582,0.115752868570613,0.120577121630461,0.122515413604411,0.124894341757143,0.126330433182508,0.126331453479079,0.127340448055305,0.127593079298672,0.127871480303414,0.128111295104407,0.128427145581953,0.128831222025717,0.12907157234217,0.129429116166696,0.129776547857712,0.130142673835923,0.130493020226737,0.134996885419464,0.135158319045124,0.144577082092194,0.153325473330086,0.154557039877105,0.154392016153958,0.154347316571605,0.153553092593982,0.153196350722661,0.150102385576705,0.150261942607072,"Ot-13"
"14","Ot-14",22.2316947,"Rototoa",0.671627178382616,0.0133098019302272,0,0.0549572174377368,0.0809519785583315,0.0385276124027375,0.00620483697374938,0.0424392360813582,0.00198721991670152,0.010766982123906,0.0281771598833705,0.0148437041335736,0,0,0.00975738646714877,2.86320328283298,31.881578883049,13.5256392253359,0.114690947967989,0.119372095774797,0.121092775564712,0.123506662515028,0.125216407460599,0.125459582549136,0.12653061198968,0.126809449991139,0.127010456393778,0.127228535200144,0.127566459909579,0.127977596465504,0.128234616167028,0.128585709534773,0.128933343239285,0.129298565551542,0.129628954830973,0.134145694443193,0.134288725775302,0.143702270422819,0.152420919295359,0.15344483621284,0.153229540419504,0.153263404052938,0.152314196842948,0.1518894752872,0.148794567706156,0.148940341759247,"Ot-14"
"15","Ot-15",23.2316947,"Rototoa",0.681021625652496,0.00831783560705569,0,0.0560966699090456,0.13002845537145,0.0492673370894364,0.00671308314884453,0.0631371241155292,0.00185331839749342,0.0114293820828388,0.038028758133319,0.0319771280570703,0,0,0.0248965304613585,1.9438132839962,19.5496258221449,9.5888552849828,0.103587626283419,0.107964428295097,0.109687940047817,0.112216834087744,0.113908082604183,0.114314137127231,0.115541115746313,0.11583390174113,0.116139402173841,0.116410835741548,0.116779977305693,0.117204995715299,0.117502175596656,0.117880304445687,0.118224169526267,0.118580549113717,0.118967833300418,0.123722905289187,0.123883578918228,0.133885730896907,0.143233258341307,0.145327099961263,0.145273647483758,0.145320937587773,0.14514049302113,0.144920995591011,0.142324238108,0.142479527843327,"Ot-15"
